summary,city,state,date_time,shape,city_latitude,city_longitude
Six or more lights in formation quickly disappearing in sequence over Seattle.,Seattle,WA,2014-08-28T19:30:00,formation,47.60904638888889,-122.32602834595959
"Orange star-like lights above Bremerton, WA.",Bremerton,WA,2014-12-12T20:00:00,light,47.599319157088125,-122.6697122605364
"A large, silent, bright orange, hovering flying object, dimmed and brightened its ""lights,"" and then vanished.",Sequim,WA,2015-01-01T22:13:00,changing,48.0656,-123.0613
I watched a streak of light move in a southerly direction heading downward eventually disappearing behind the Olympic Mountains.,Everett,WA,1999-09-25T19:15:00,light,47.92466490727532,-122.21939985734664
Reddish orange triangular pattern of lights.,Kennewick,WA,2015-01-02T21:00:00,light,46.17882291666667,-119.16297812500001
"Solid red light with a blinking green light in the sky in Lacey, WA.",Lacey,WA,2015-01-24T22:10:00,unknown,47.02590722891566,-122.79733855421686
"14 yellowish circle of lights seen by 4 people east of Anacortes, WA, for 5 minutes on 1-24-2015 at 23:30.",Anacortes,WA,2015-01-24T23:30:00,circle,48.4648,-122.6092
"I saw a light above the tree line to the W, it was flashing blue, white, green, and a bit of red.  ((NUFORC Note: Twinkling star?  PD))",Aberdeen,WA,2015-01-26T01:10:00,light,46.8841,-123.99499999999999
Looked as if it were floating and spinning as it turned one side of it had a row of white lights was moving tward Mt. Rainier. After it,Puyallup,WA,2014-11-07T16:30:00,disk,47.14574063670412,-122.2924202247191
"a large white ball coming towards me then as I focused on it, it seemed to know somehow that I was aware of it and it turned, faster th",Ridgefield,WA,1999-09-04T21:30:00,light,45.7982,-122.69390000000001
Unknown triangle cloud with fireball object,Sequim,WA,2014-10-05T14:20:00,unknown,48.0656,-123.0613
bright light that did not move at all. 1 bright light turned to 3 distinguishable lights. dissappeared suddenly,Redmond,WA,1999-09-05T00:30:00,light,47.679040334236674,-122.11505415537488
"V-shaped object, glowing blue/grey moving straight and fast.",Shelton,WA,2014-11-29T20:30:00,chevron,47.2389,-123.20610000000002
"It moved side to side, then up, then down then zipped out of site, and it was illuminated.",Richland,WA,2014-11-30T00:00:00,cylinder,46.31271111111111,-119.30846044444444
"On Friday night, August 29, 2014 at about 8:30 pm, I looked up to the sky and saw two orange-colored circles like orbs lit in the sky.",Blaine,WA,2014-08-29T21:30:00,circle,48.93148260869566,-122.72577391304348
