summary,city,state,date_time,shape,text,city_latitude,city_longitude
Viewed some red lights in the sky appearing to be moving north and slower than an airplane.,Visalia,CA,2021-12-15T21:45:00,light,"Viewed some red lights in the sky appearing to be moving north and slower than an airplane. Saw multiple red lights moving in the sky in what appeared to be uniform motion, but could be wrong. Lights appeared to be traveling north or northwest slower than a plane. I viewed the phenomenon standing outside the planet fitness gym on Demaree and walnut in visalia CA, and I was facing west while filming them. The weather was cloudy at the time, very clouds where no stars were visible and I viewed the phenomenon at exactly 9:43 pm. Eventually the lights faded into the clouds and disappeared. I was able to capture footage of the event on my Samsung galaxy s10e smartphone. I drew an image of the phenomenon on a screenshot of a map and my location, although I believe it was much farther away. Hope this helps!",36.356650127226466,-119.34793664122137
Look like 1 or 3 crafts from North traveling south in tight formation. Seemed to bob up and down as they traveled.,Cincinnati,OH,2021-12-16T09:45:00,triangle,Look like 1 or 3 crafts from North traveling south in tight formation. Seemed to bob up and down as they traveled. Using a night vision camera I was able to capture on video 1 or possibly 3 objects in tight formation traveling from the north going south and it seemed to bob up and down as it traveled.,39.17450311744155,-84.48136299381886
Yellow light floating across my grass as it descended it set off my Ring lights. The image can be seen on the Ring doorbell camera for,Springfield,NJ,2020-05-13T03:37:00,light,Yellow light floating across my grass as it descended it set off my Ring lights.  The image can be seen on the Ring doorbell camera for approximately seven seconds,40.6987,-74.3296
"Line of possible UFO's sighted over Aurora IL, USA.  ((Starlink satellites?))",Aurora,IL,2020-04-26T21:23:00,light,"Line of possible UFO's sighted over Aurora IL, USA While walking my dog tonight, I noticed how brilliant the stars were!  Clear night.  As I gazed at the stars, I noticed what appeared to be a perfect line of stars... spaced exactly the same distance apart...but they were MOVING!  I kept thinking my eyes were playing tricks on me, knowing that stars don't travel.  But the line was moving.  There was no noise.  They appeared like bright stars in the sky...seemed quite a distance up.  It felt like hours, but in reality is was probably 45 seconds to a minute before they just started to fade away.  Just disappeared into the ethers.  I have never witnessed anything like it in my life.  There were probably 8-10 of them in the line.  I did attempt to shoot video, but the video is black.  Perhaps it could be blown up to see if any detail can be extracted.  If you would like to have it, I'm happy to provide it.",41.761355311004785,-88.31528937799044
"red light through the sky at first, then 2 large square/rectangle were observed",Madison,WI,2020-04-26T19:45:00,unknown,"red light through the sky at first, then 2 large square/rectangle were observed This occurred on April 26, 2020 – approx 7:45 pm  One square/slightly rectangular shaped object (no lights) was flying slowly from the south/east towards the north/west and then disappeared behind some rooftops from my position/perspective.  It seemed to be sort of turning/tumbling slowly as it slowly flew by.  Right after it disappeared behind the rooftops in the north/west there was a red light coming from the same direction the first object started in (south/east) and going in the same direction (north/west).  The light flickered a little as it passed behind a tall tree.  No leaves on the tree yet, so it could still be seen as it passed behind the bare branches.  The light went out as it was passing behind this tree.  Then the exact same object as the first flew from behind the tree in the same path as the first (also no lights).  It flew slowly in the same direction and the disappeared behind the same rooftops except slightly more to the right as the first object.  No lights.  This event took roughly 4 to 5 minutes from start to finish and occurred in complete silence; no engine noise whatsoever.  I am using an anonymous e-mail address and withholding my name for privacy, I have a business reputation that I need to maintain.  The local news has received many calls regarding this and have reported it was a satellite. This is ridiculous.",43.066514168714164,-89.38736175266175
I saw a half round disk object in flight zone then realized it was flying against flight path traffic normally flies.,Mesa,AZ,2014-08-26T09:50:00,disk,"I saw a half round disk object in flight zone then realized it was flying against flight path traffic normally flys. So, I am driving in the city of Mesa, Az, on 9:50 am Tuesday, 08/26/2014, it was the first cloudless day we had in last week, being that we are in monsoon season and have had a particularly rainy season this year. I see what at first appears to be a plane at a glance especially being that the area is a fly zone over falcon field and sky harbor.  Then I realize I have never seen anything flying the opposite way of falcon fields mandated flight path allows.  Another detail that had me for a split second assume it was a commercial or private plane was it looked white, and almost textured, but at this time I was looking up at it and may have been looking at the bottom.  Then I noticed it was barely swerving slightly back and forth.  So slightly that unless you stared at like I did it could appear to be going straight.  This is when I was positive it was worth taking a picture at least. If my phone wasn't on verge of dying, I would have taken a video.  As I got my phone ready to take the picture the object was getting further away quickly even though we were traveling same direction.  When I took the picture I wasn't sure if I would be able to see anything.  And when you look at the picture you almost can't see anything until you zoom in then you can see it quite clearly.  So the time I observed it was about 2 min. approximately, OR the time it takes to travel 2 miles at 40 MPH might be a more accurate way to describe it. I snapped the picture, passed two palm trees, looked back up and the object in sky was gone.  Then I saw a commercial airliner fly by and noticed distinct blinking light on the belly and obvious wing shapes which the object I saw was lacking.   I turned east and by the time I got to my destination 2 miles up the road I observed 2 air force jets both flying straight up with the afterburners on and I remember thinking that they were going much slower than the object they were chasing.   The shape of the craft appeared to be somewhat cigar shape and with the white I was seeing is why it looked at a glance like a jetliner but it quickly looked different in shape but I think this is because of the angle not that it changed in shape and became very obvious to me it was wingless.  Half round in shape.  The best thing I can think of to compare with is a bike helmet which is kind of funny to me because I imagine both the helmet and the ship were built with aerodynamics in mind.",33.42126454293629,-111.772797322253
"Nearly every night for the past two weeks, there are strange lights in the sky, always at least two, that travel in parallel lines to o",Salyersville,KY,2014-08-26T23:00:00,light,"Nearly every night for the past two weeks, there are strange lights in the sky, always at least two, that travel in parallel lines to one another.  At a glance they appeared to be aircraft, with blinking lights like one would expect.   After seeing them a few nights in a row, I began to pay closer attention. I was standing in the driveway smoking a cigarette 3 nights ago, and I had watched an object fly across the sky slowly (like an aircraft) until it reached the ridge line in the distance. It then hovered in place, the light stopped blinking, and it looked like a star among the other stars in my field of view.  I looked away for one second to flip my cigarette and in that instant it disappeared from view (or so I thought).   I then spotted the object hovering on the opposite end of the ridge, where it sat for several more minutes.  After a while, I lost interest and went back inside.  They have appeared in the sky like clockwork at 11pm every night since, and are continuing to do so.  I also forgot to mention that I apparently lost more than half an hour of time by my perception when I came back inside the house, although I have no way to verify this.",37.7339,-83.0836
A changing shape light has been seen in a night sky for a minute.,Montreal,QC,2014-08-27T20:12:00,fireball,"A changing shape light has been seen in a night sky for a minute First, I’m a French Canadian, so my English is kind of limited.   On the night of August 27th, 2014, I went to see my friend, who lives in Ahuntsic (Montréal). It’s near the Dorval Airport, so we always see things in the sky, but this time, I was alone and I saw a little light in the sky who has changed in a bigger shape, but the shape wasn’t squared.  The form change (I took a picture).   It’s the second time I see something in the sky, but the first one wasn’t like this.  I didn’t report it cause up to day, I’m not quite sure it’s was a UFO.  But this time, it was pretty unsual.",45.51408695464828,-73.58579954756006
"Cigar-shaped horizontal object with solid yellow lights in Alliston, Ontario.",Alliston,ON,2014-08-27T20:45:00,cigar,"Cigar-shaped horizontal object with solid yellow lights in Alliston, Ontario. Just a bit after dusk, I was sitting at my backyard table in Alliston, Ontario.  My backyard faces south looking over a farmer's field. I noticed a cigar shaped (horizontal) object which was heading West at a very rapid rate.  The object had very bright yellow lights (not flashing but solid).   It was travelling very fast and only lasted perhaps 5 seconds before vanishing.   I jumped up and ran to the edge of my yard, but there was no more sign of it.  It was not too high in the sky and at first I thought it might be either a comet or a drone.   There was no tail or trail behind it and since the lights were solid, I discounted both of these ideas. While looking for similar pictures on the net for the last few days it closely resembled a picture taken from Mexico in May 2013.",44.1501,-79.8663
Six or more lights in formation quickly disappearing in sequence over Seattle.,Seattle,WA,2014-08-28T19:30:00,formation,"Six or more lights in formation quickly disappearing in sequence over Seattle Six or more lights across Seattle, partially obstructed by Seattle Space Needle and bushes.  At first appeared slow moving, disappearing all sequentially.  Video: www.youtube.com/watch?v=kMTQJFKOJmU ((ADDENDUM FROM WITNESS)) Hey Peter! Sorry, I broke the link apart in case there was some kind of anti-spam that stops youtube links, but the full link is here: http://youtu.be/kMTQJFKOJmU Let me know if there is anything else I can do! ((END ADDENDUM))",47.60904638888889,-122.32602834595959
